# frequency_cm-1 intensity
  795.737855 3.641262474650e-04
  796.712411 4.683931355873e-04
  797.686968 6.017020242094e-04
  798.661525 7.680092483944e-04
  799.636081 9.714326031350e-04
  800.610638 1.216046436645e-03
  801.585195 1.505671776382e-03
  802.559751 1.843677826007e-03
  803.534308 2.232815375163e-03
  804.508865 2.675104498922e-03
  805.483421 3.171797468188e-03
  806.457978 3.723432384972e-03
  807.432535 4.329983496877e-03
  808.407092 4.991100867092e-03
  809.381648 5.706416254550e-03
  810.356205 6.475875606649e-03
  811.330762 7.300043995661e-03
  812.305318 8.180318964360e-03
  813.279875 9.118985811754e-03
  814.254432 1.011905548197e-02
  815.228988 1.118384347060e-02
  816.203545 1.231627609678e-02
  817.178102 1.351794645618e-02
  818.152658 1.478798253984e-02
  819.127215 1.612182919608e-02
  820.101772 1.751007791650e-02
  821.076328 1.893749804286e-02
  822.050885 2.038242518079e-02
  823.025442 2.181664459271e-02
  823.999998 2.320586899788e-02
